Package,LibPath,Version,Priority,Built
acepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.2
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
beeswarm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-12,NA,3.4.0
bit64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-7,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
blob,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.2
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.0
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.2
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
checkmate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.5,NA,3.4.2
chron,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-51,NA,3.4.2
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.2
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.2
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.2
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0,NA,3.4.2
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.4-3,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
debugme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.4,NA,3.4.2
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.14,NA,3.4.3
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
DT,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
dygraphs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1.4,NA,3.4.0
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.2
Formula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.1
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
gdtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.1
GGally,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.2,NA,3.4.1
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1.9000,NA,3.4.2
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.1
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.21.0,NA,3.4.3
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
gmailr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.1,NA,3.4.0
googledrive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
googlesheets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
grails3r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.23,NA,3.4.2
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
gridExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.1
gsubfn,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-6,NA,3.4.0
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
here,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
hexbin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.27.2,NA,3.4.3
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.0-3,NA,3.4.0
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
htmlTable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.9,NA,3.4.0
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9,NA,3.4.1
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.5,NA,3.4.1
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
ini,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
janitor,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.0
